day_time,mean_motion
2016-03-04,0.0622901374821452
2016-03-05,0.0622901245851963
2016-03-06,0.0622900849181995
2016-03-07,0.0622900715732621
2016-03-08,0.0622900705682888
2016-03-09,0.0622901622132918
2016-03-10,0.0622901622132918
2016-03-11,0.0622901912484303
2016-03-12,0.0622902393794011
2016-03-13,0.06229025505822
2016-03-14,0.0622902665573263
2016-03-15,0.0622903002232813
2016-03-16,0.0622903336334398
2016-03-17,0.0622903898589246
2016-03-18,0.0622904079046831
2016-03-19,0.0622904164142626
2016-03-20,0.0622904203285853
2016-03-21,0.0622904269445077
2016-03-22,0.0622904257793514
2016-03-23,0.0622904184605669
2016-03-24,0.0622904008991889
2016-03-25,0.0622903850782115
2016-03-26,0.0622903646693775
2016-03-27,0.0622903491469297
2016-03-28,0.0622903365083048
2016-03-29,0.0622903269283065
2016-03-30,0.0622903179162923
2016-03-31,0.0622903139473503
2016-04-01,0.0622903142494659
2016-04-02,0.0622903196747203
2016-04-03,0.0622903308786089
2016-04-04,0.0622903386926352
2016-04-05,0.0622903443983165
2016-04-06,0.0622903481559917
2016-04-07,0.0622903531553398
2016-04-08,0.0622903616939951
2016-04-09,0.062290366256375
2016-04-10,0.0622903702507199
2016-04-11,0.0622903755923805
2016-04-12,0.062290381403658
2016-04-13,0.0622903867525462
2016-04-14,0.0622903921269454
2016-04-15,0.0622904080680767
2016-04-16,0.0622904242785685
2016-04-17,0.0622904419421091
2016-04-18,0.0622904564486931
2016-04-19,0.0622904711301706
2016-04-20,0.062290490737416
2016-04-21,0.0622904869575563
2016-04-22,0.0622904695087391
2016-04-23,0.0622904365049292
2016-04-24,0.0622903940631805
2016-04-25,0.0622903488613174
2016-04-26,0.0622903091394787
2016-04-27,0.0622902655798625
2016-04-28,0.0622901622896247
2016-04-29,0.0622901609391017
2016-04-30,0.0622901967316888
2016-05-01,0.0622902103277306
2016-05-02,0.0622902030306895
2016-05-03,0.0622901635091722
2016-05-04,0.0622901980783742
2016-05-05,0.0622902306560836
2016-05-06,0.0622902229221751
2016-05-07,0.0622902266472336
2016-05-08,0.062290254670227
2016-05-09,0.0622902527008759
2016-05-10,0.0622902443409748
2016-05-11,0.0622902620517256
2016-05-12,0.0622902765872993
2016-05-13,0.0622903047372886
2016-05-14,0.0622902680853742
2016-05-15,0.0622902712130141
2016-05-16,0.0622902712130141
2016-05-17,0.0622902914762071
2016-05-18,0.062290295546619
2016-05-19,0.0622903126383454
2016-05-20,0.0622903405804043
2016-05-21,0.0622903502842801
2016-05-22,0.062290295896173
