day_time,mean_motion
2011-01-27,0.0043752875783886
2011-01-28,0.0043752828233976
2011-01-29,0.0043752748395083
2011-01-30,0.0043751295538122
2011-01-31,0.0043751896319928
2011-02-01,0.0043752497101734
2011-02-02,0.0043752448677317
2011-02-03,0.0043752379310419
2011-02-04,0.004375232186910134
2011-02-05,0.004375226442778366
2011-02-06,0.0043752206986466
2011-02-07,0.0043752117987263
2011-02-08,0.0043752091377505
2011-02-09,0.0043751994960964
2011-02-10,0.0043751912069002
2011-02-11,0.0043751829612787
2011-02-12,0.0043751734505331
2011-02-13,0.0043751672991291
2011-02-14,0.0043751567412211
2011-02-15,0.0043751464451293
2011-02-16,0.0043751375887172
2011-02-17,0.0043751337058799
2011-02-18,0.004375123889676
2011-02-19,0.0043751086200495
2011-02-20,0.0043750917359918
2011-02-21,0.0043750542150909
2011-02-22,0.0043750437007454
2011-02-23,0.0043750323575902
2011-02-24,0.00437502592253525
2011-02-25,0.0043750194874803
2011-02-26,0.0043750039997537
2011-02-27,0.0043749946635383
2011-02-28,0.0043749859380988
2011-03-01,0.0043749772127346
2011-03-02,0.0043749685745181
2011-03-03,0.00437495915102935
2011-03-04,0.0043749497275406
2011-03-05,0.0043749394314642
2011-03-06,0.004374944601887
2011-03-07,0.0043749497723098
2011-03-08,0.0043749369460146
2011-03-09,0.0043749273915663
2011-03-10,0.0043747597674279
2011-03-11,0.0043749100278493
2011-03-12,0.0043749001680927
2011-03-13,0.00437489118083
2011-03-14,0.0043748822372169
2011-03-15,0.0043748738170798
2011-03-16,0.0043748594200186
2011-03-17,0.0043748438011201
2011-03-18,0.0043748319343746
2011-03-19,0.0043748191950029
2011-03-20,0.0043748086807732
2011-03-21,0.0043747990827432
2011-03-22,0.004374788132181
2011-03-23,0.0043747757854959
2011-03-24,0.0043746498710931
2011-03-25,0.0043747496961818
2011-03-26,0.0043747418868847
2011-03-27,0.0043747335977034
2011-03-28,0.0043747238251777
2011-03-29,0.0043754337210969
2011-03-30,0.0043754253446998
2011-03-31,0.0043754253448399
2011-04-01,0.0043754093771799
2011-04-02,0.0043754044475911
2011-04-03,0.0043753952858471
2011-04-04,0.0043753842480393
2011-04-05,0.004375377878481
2011-04-06,0.0043753696766877
2011-04-07,0.0043753613438658
2011-04-08,0.0043753534473186
2011-04-09,0.0043753415806338
2011-04-10,0.0043753309354528
2011-04-11,0.0043753207702165
2011-04-12,0.0043753112594634
2011-04-13,0.0043752992619547
2011-04-14,0.0043752892712182
2011-04-15,0.0043752321174286
2011-04-16,0.0043752255296681
2011-04-17,0.0043752128777419
2011-04-18,0.0043752038032887
2011-04-19,0.0043751965175612
2011-04-20,0.0043751839093296
2011-04-21,0.0043751750094588
2011-04-22,0.0043751747477028
2011-04-23,0.0043751619215755
2011-04-24,0.0043751555085233
2011-04-25,0.0043751487027031
2011-04-26,0.0043751425951834
2011-04-27,0.0043751356586019
2011-04-28,0.0043751263660725
2011-04-29,0.0043751192112402
2011-04-30,0.0043751113583372
2011-05-01,0.0043750992734402
2011-05-02,0.0043751109667871
